@RELATION wine

@ATTRIBUTE alcohol REAL
@ATTRIBUTE strain {SHIRAZ,PINOT,RIESLING,CASTELAO,MALBEC,SAUVIGNON,ESPADEIRO,GRACIANO,BOMBINO,ZINFANDEL,GEWURZTRAMINER,SYRAH,RONDINELLA,NEGROAMARO,PRIMITIVO,MERLOT,GLERA,MOSCATO,SANGIOVESE,FETEASCA,RABOSO,MOSCATEL,TINTA,AIREN,MONTEPULCIANO,NERO,AGLIANICO,PROSECCO,MACABEO,BLAUBURGER,CHARDONNAY,TREBBIANO,LOUREIRO,PEDRO,FURMINT,SAPERAVI,ARINTO,CABERNET,COLOMBARD,VERMENTINO,TEMPRANILLO,GARNACHA,MARZEMINO,GRENACHE,PALOMINO,CARINENA,MUSCAT,MALVASIA}
@ATTRIBUTE kind {CZERWONE,MUSUJACE,BIALE,ROZOWE,WZMACNIANE}
@ATTRIBUTE dryness {POLSLODKIE,POLWYTRAWNE,WYTRAWNE,SLODKIE,LEKKOWYTRAWNE}
@ATTRIBUTE origin {WLOCHY,AUSTRALIA,SZWECJA,PORTUGALIA,HISZPANIA,CHILE,NOWA-ZELANDIA,GRUZJA,USA,MOLDAWIA,FRANCJA,NIEMCY,ARGENTYNA,WEGRY,SLOWACJA}
@ATTRIBUTE class {TEX-MEX,MIESA-BIALE,DESERY,WOLOWINA,SERY,MIESA-CZERWONE,DROB,JAGNIECINA,PRZYSTAWKI,OWOCE-MORZA,MAKARONY,APERITIF,SAMO-W-SOBIE,SUSHI,BARANINA,RYBY}

@DATA
12,MUSCAT,BIALE,POLSLODKIE,MOLDAWIA,DESERY
16,TINTA,WZMACNIANE,SLODKIE,PORTUGALIA,APERITIF
16,TREBBIANO,MUSUJACE,WYTRAWNE,WLOCHY,SUSHI
15,SANGIOVESE,ROZOWE,WYTRAWNE,WLOCHY,SUSHI
14,CABERNET,CZERWONE,SLODKIE,MOLDAWIA,DESERY
14,CHARDONNAY,BIALE,WYTRAWNE,ARGENTYNA,RYBY
15,CHARDONNAY,BIALE,LEKKOWYTRAWNE,WLOCHY,WOLOWINA
15,CHARDONNAY,BIALE,WYTRAWNE,WLOCHY,SUSHI
16,ARINTO,BIALE,WYTRAWNE,PORTUGALIA,RYBY
11,CHARDONNAY,BIALE,WYTRAWNE,CHILE,RYBY
14,SAUVIGNON,BIALE,WYTRAWNE,CHILE,RYBY
11,AIREN,BIALE,POLSLODKIE,HISZPANIA,TEX-MEX
14,TINTA,WZMACNIANE,SLODKIE,PORTUGALIA,SERY
15,TINTA,WZMACNIANE,POLSLODKIE,PORTUGALIA,SERY
15,TINTA,WZMACNIANE,SLODKIE,PORTUGALIA,SERY
16,MALVASIA,WZMACNIANE,POLSLODKIE,PORTUGALIA,PRZYSTAWKI
14,PALOMINO,WZMACNIANE,LEKKOWYTRAWNE,HISZPANIA,SERY
15,PALOMINO,WZMACNIANE,SLODKIE,HISZPANIA,SERY
11,PALOMINO,WZMACNIANE,WYTRAWNE,HISZPANIA,SERY
15,CHARDONNAY,MUSUJACE,WYTRAWNE,HISZPANIA,PRZYSTAWKI
15,GLERA,MUSUJACE,WYTRAWNE,WLOCHY,RYBY
11,GLERA,MUSUJACE,WYTRAWNE,WLOCHY,SUSHI
16,MACABEO,MUSUJACE,POLWYTRAWNE,HISZPANIA,DESERY
13,MACABEO,MUSUJACE,WYTRAWNE,HISZPANIA,PRZYSTAWKI
12,MACABEO,MUSUJACE,WYTRAWNE,HISZPANIA,PRZYSTAWKI
13,MACABEO,MUSUJACE,POLWYTRAWNE,HISZPANIA,APERITIF
15,MACABEO,MUSUJACE,WYTRAWNE,HISZPANIA,APERITIF
